;;;;;;;;;;x,,,
improved_foraging;与民同耕;;;;;;;;;;X,,,
vetting;宗法至上;;;;;;;;;;X,,,
bureaucracy;门客制度;;;;;;;;;;X,,,
national_bank;郡县制度;;;;;;;;;;X,,,
national_trade_policy;防范私铸;;;;;;;;;;X,,,
espionage;什伍连坐;;;;;;;;;;X,,,
bill_of_rights;鼎铸刑书;;;;;;;;;;X,,,
smithian_economics;锐意变法;;;;;;;;;;X,,,
liberty_egalite_fraternity;重用法家;;;;;;;;;;X,,,
ecumenism;设立官学;;;;;;;;;;X,,,
church_attendance_duty;鸡鸣狗盗;;;;;;;;;;X ,,,
divine_supremacy;有教无类;;;;;;;;;;X,,,
patron_of_art;绝圣弃智;;;;;;;;;;X ,,,
deus_vult;兼爱非攻;;;;;;;;;;X,,,
humanist_tolerance;制名指实;;;;;;;;;;X,,,
cabinet;天道无为;;;;;;;;;;X,,,
revolution_and_counter;阴阳五行;;;;;;;;;;X,,,
press_gangs_desc;平王东迁之后，王权衰落，各诸侯国和蛮夷势力都试图加强本国的影响力，恩威兼施、文武并用.\n--------------\n此理念使得国家能够将威望保持在较高水平，允许利用威望获得更多的外交及内政优势，有利于维持附庸国.\n--------------\n此理念与家国天下一并使用，国家拥有附庸，将触发恩威并施事件。;;;;;;;;;;X,,,
grand_navy_desc;嫡长制度在西周时代成为定制，先立嫡长子；无嫡长子，立嫡长孙；无嫡长孙，立母弟；无母弟，立庶子.\n--------------\n此理念极大强化国家正统，从而加强国内的稳定，在干涉战争、继承人获得、内部继承危机等方面获得优势。;;;;;;;;;;X,,,
sea_hawks_desc;周天子对于诸侯的控制逐渐失去之后，自上而下的外交形式逐渐向多元化转变，诸侯之间的交往更加频繁和复杂，私下和公开的盟会成为常态.\n--------------\n此理念提高国家的外交能力，有效改善与邻国之间的关系并减少国家恶名，并解锁文化决议大蒐礼。 ;;;;;;;;;;X,,,
superior_seamanship_desc;《左传·宣公三年》：“周德虽衰，天命未改，鼎之轻重，未可问也。”.春秋战幕开启，天命所在成为了维系周王朝和开创新王朝都必须争取的理论支持.“家国天下”意识是中华文明长期延续的观念基础。这一思想的形成，不仅与传统的道德观念有关，也与古代中国的地理环境以及独特的生产方式有关，是历史发展的逻辑使然.\n--------------\n此理念在国家为天下共主制度且正统足够高的时候给予国家强力的天命修正，同时给予国家少量附庸国稳定性和威望上的优势，并促进阴阳学派的产生。家国天下可以极大地提升附庸的经济和军事能力，并且可以反哺宗主国各个领域的人才。 ;;;;;;;;;;X,,,
naval_glory_desc;普天之下，莫非王土；率土之滨，莫非王臣；大夫不均，我从事独贤.春秋时期对于土地所属的界定随着王权加强而加强\n--------------\n此理念使得国家因此更容易获得领土的核心，由此降低非法领土或新征服土地带来的负面影响 ;;;;;;;;;;X,,,
excellent_shipwrights_desc;尊王攘夷，虽春秋大义，而王非唯喏趋伏之可尊，夷非一身两臂之可攘.自齐桓公开始，中原大诸侯不断有人尝试以诸侯长的身份，挟天子以伐不服.\n--------------\n此理念给予霸主会盟权利，扩大尊王攘夷战争借口范围，并使得非霸主国家在霸主位置的竞争中获得有利位置. ;;;;;;;;;;X,,,
naval_fighting_instruction_desc;“秦失其鹿，天下共逐之”，进入战国时期，国家之间的征伐和土地兼并愈演愈烈，在春秋时期作为抑制力的旧体系不复存在，争夺天下权力的战争不断爆发.\n--------------\n此理念给予合法的逐鹿中原的战争理由以及解放战争理由，中原内部战争更加容易，同时部分减少非法领土的效果. ;;;;;;;;;;X,,,
naval_provisioning_desc;合纵连横是战国时期纵横家所宣扬并推行的外交和军事政策。苏秦曾经联合“天下之士合纵相聚于赵而欲攻秦”，与合纵政策针锋相对的是连横.\n--------------\n此理念加强国家的外交能力，大幅度减少恶名，也可以改善与周围国家的关系.;;;;;;;;;;X,,,
grand_army_desc;春秋战国时期，大型战船大量建造，军队建制中有了相当规模的舟师(水师)。吴王寿梦二年开始，吴楚两国进行了14次大规模的水战，最后以吴军攻下楚国首都郢而告终.\n--------------\n此理念提高水军上限和水军士气，提高建造港口任务出现概率，允许挖掘邗沟并刺激省份繁荣. ;;;;;;;;;;X,,,
military_drill_desc;春秋之前，贵族才能从军，故而战争具有礼仪性；进入战国，不断爆发惨烈的全面战争。耕战制度由此随着奴隶制度的瓦解而出现，农民从此成为国家的主体，而贵族多由军人出身.\n--------------\n此理念增加国家的兵员，并提高军队补充速度，同时允许省份实施防御蛮族政策. ;;;;;;;;;;X,,,
engineer_corps_desc;旧列国普遍施行"世卿世禄"制度，主要在奴隶主贵族中选取人才.军功爵制，有力地打击了旧贵族特权，废除"世卿世禄"制度，为秦汉以后的"布衣将相之局"打下了基础.\n------------\n此理念刺激国家军事人才的产生，提高国家陆军传统和士气. ;;;;;;;;;;X,,,
battlefield_commisions_desc;诸侯自成一国，周天子权威衰落，同时各诸侯国内的强势公卿家族也开始自己招募门客、护卫，形成了一种私兵的形式，大的封邑部队实力雄厚，有时可成为国家主要的军事力量.\n--------------\n此理念降低私募兵费用，同时扩大军队规模上限，同时允许大规模征召封臣的私募部队. ;;;;;;;;;;X,,,
glorious_arms_desc;车战，是商周时期的主要战法，战车兵是军队的主力兵种，以一乘战车和其附属的徒步的士兵为一个基本作战单位。而计算各诸侯国的军事实力，也常常以战车为计算单位.\n--------------\n此理念降低骑兵和战车的征募费用，增强将领冲击力，极大提高建造牧场任务出现的概率. ;;;;;;;;;;X,,,
national_conscripts_desc;《孙子兵法》：“故上兵伐谋，其次伐交，其次伐兵，其下攻城；攻城之法为不得已。”战争的主要取胜不仅仅在于战场上的争雄，战争以外的因素影响巨大.\n--------------\n此理念降低陆军损耗，增加军事科技投资. ;;;;;;;;;;X,,,
regimental_system_desc;阵战法在西周和春秋的时代极为盛行，中国的阵法是在春秋和战国发展成熟的，比如传说太极八卦阵是鬼谷子发明的，由徒弟孙膑具体实施.\n--------------\n此理念将极大提高军队的战斗力，但同时略微增加军队维持费用. ;;;;;;;;;;X,,,
napoleonic_warfare_desc;诸侯间不断爆发战争，有识之士总结经验教训，研究制胜规律，逐渐形成兵家。《汉书·艺文志·兵书略》录汉以前兵家著作五十三家，七百九十篇，分权谋、形势、阴阳、技巧四家。春秋孙武、司马穰苴；战国有孙膑、吴起、尉缭；汉初有张良、韩信都是代表人物\n------------\n拥有此理念会触发兵家入仕事件，一定时期内激发极强的军事buff. ;;;;;;;;;;X,,,
land_of_opportunity_desc;战国时代以来，重农抑商的思想逐渐形成，魏国的李悝首先将农业和商业放在对立面上，这种思想再后来得到了商鞅等人的发扬，逐渐成为各国政府的主流思想，并影响深远.\n--------------\n此理念以牺牲商业为代价，增加税收和工业生产，同时会触发农家事件. ;;;;;;;;;;X,,,
merchant_adventures_desc;端木赐，字子贡，孔子称其“瑚琏之器”，儒商之祖，官至鲁、卫两国之相。在管仲等政治家的提倡下，春秋时期商业得到了巨大的发展，也涌现出了大量的富商巨贾，商人成为国家的重要一员.\n--------------\n此理念增加商业效率，因此生产效率也得到提高. ;;;;;;;;;;X,,,
colonial_ventures_desc;春秋时期，齐国管仲提出的“官山海”政策，即对盐和铁一起实行专卖。秦商鞅变法，控制山泽之利，也实行盐铁专卖，官府垄断经营，寓税于价，使人民避免不了征税，又感觉不到征税.\n--------------\n此理念促进生产收入并提高建造盐矿木等工厂任务的出现概率，但贸易会受到一些影响，有利于拉高盐铁价格. ;;;;;;;;;;X,,,
shrewd_commerce_practise_desc;春秋中后期，诸侯国普遍设立县，由国君派大夫治理，称县大夫。由于县的大量设置，就逐渐取代了国野制.由于很多县设置在边界地区，同时又是大夫封邑，因此大大促进了地方的发展.\n--------------\n此理念触发获得地方建设事件，对于军事和经济都有有利效果，此理念还是大量水利要塞建设决议的前提. ;;;;;;;;;;X,,,
vice_roys_desc;春秋中期开始，华夏民族逐渐扭转对四夷的守势，晋国征服北狄，秦国独霸西戎，燕国击败东胡，齐国吞并莱夷，再加上本属于南蛮的楚吴越逐渐融入华夏世界，中国的辐射范围大为扩张.\n--------------\n此理念促进移民活动，对于文化同化和其他一些省份良性事件也有促进作用. ;;;;;;;;;;X,,,
quest_for_the_new_world_desc;中原地大物博，各种自然资源在春秋时期得到了进一步开发和利用，传统的青铜冶炼和随后星期的冶铁技术，山林鱼泽资源的开发，粮食产量的进一步提高，都是这一时期的重要成果.\n--------------\n此理念对于重要的战略资源，根据拥有量的多少，给予国家相应的正面修正. ;;;;;;;;;;X,,,
scientific_revolution_desc;什一税制是春秋战国早期的一种重要税收制度，与旧有的井田制度密切相关，随着战争规模的扩大和土地私有化，各国相继加收重赋，什一税逐渐失去实际意义.\n--------------\n此理念牺牲一部分的税收，使得国家更加稳定，商业也得到促进. ;;;;;;;;;;X,,,
improved_foraging_desc;农家者流，盖出于农稷之官。播百谷，劝耕桑，以足衣食，故八政一曰食，二曰货。孔子曰“所重民食”，此其所长也。战国时期的农家思想以许行为代表，向上可追溯到神农后稷，主张与民同耕.\n--------------\n此理念少量增加税收和生产，能够触发地方农业改革事件，增加基税. ;;;;;;;;;;X,,,
vetting_desc;西周宗法制直接导致了分封制，分封抽使国内分割成大大小小的诸侯国，诸侯国又产生了众多卿大夫的采邑。采邑又被分成无数大小的禄田。由于诸侯国、采邑（邑、关）、禄田（乡、亭）的地名直接转变成了“氏”\n--------------\n此理念增加正统信仰的容忍度，促进儒家而抑制法家传播. ;;;;;;;;;;X,,,
bureaucracy_desc;春秋社会处于大变革中，统治者十分重视智襄人物的作用。战国时期，养士之风更盛。养士最多的是所谓战国“四君子”，仅孟尝君就有门下食客三千人，既有“智、勇、辩、力”之士，也有鸡鸣狗盗之徒，他们不一定属于国家官吏的编制，也不一定担任公职，但其地位和作用却为国家和社会所公认.\n--------------\n此理念极大地加强国家的间谍与反间谍能力. ;;;;;;;;;;X,,,
national_bank_desc;春秋时代一些诸侯国为了加强管理而置县和直接任命一些不得世袭的官员为地方官。後来晋又在国内置郡。由国君任免地方官，这制度使分散的权力层层集归中央，防止因分封而导致分裂。至战国时代这种制度逐渐为各强国采用，逐渐减少分封於贵族的地区.\n--------------\n此理念以稳定花费为代价增强地方生产，同时能有效抵消国家贵族分封引起的负面效果.\n郡治会有概率刷新政通人和提升百分之2人口，-3叛乱+0.1吏员十年 ;;;;;;;;;;X,,,
national_trade_policy_desc;由于当时周王朝的势力渐弱，列国均各自为政，经济也自成体系，所以各国自行铸造货币，相互流通，形成了多币制和多币型长期共存并用的特殊局面.\n--------------\n此理念有利于稳定国家财政，对通胀、贷款、商业都有裨益. ;;;;;;;;;;X,,,
espionage_desc;商鞅在秦国变法，为了巩固君主统治，颁布连坐法。这是在户籍编制的基础上实行的。法家认为，要使君主政权达到“至治”，必须使得“夫妻交友不能相为弃恶盖非，而不害于亲，民人不能相为隐”.\n--------------\n此理念降低国家的稳定成本，提高间谍防卫，允许进行保甲制度. ;;;;;;;;;;X,,,
bill_of_rights_desc;铸刑鼎是春秋时期子产改革的标志性事件之一，公元前536年，郑国把惩治罪犯的刑律铸在金属鼎上，向全国老百姓公布。这是中国政治法制史的一件大事，后来各国纷纷效法.\n--------------\n此理念少量提高稳定成本，大大降低国家的动荡风险. ;;;;;;;;;;X,,,
smithian_economics_desc;随着土地私有制的出现，阶级关系的变动，在上层建筑方面也势必有所调整。战国初年各国所进行的变法活动，正是顺应当时经济基础的变化而出现的一种政治改革.\n--------------\n此理念使得国家国策的变化更加迅速，可以在较短的时间内调整国策，代价是暂时牺牲掉稳定. ;;;;;;;;;;X,,,
liberty_egalite_fraternity_desc;法家思想是地主阶级取代奴隶主贵族统治的理论表现。“礼”是奴隶主贵族统治的政治体系和道德规范，春秋以来，周礼逐步失去了原有的威力，贵族中出现了一批改革家，颁布法令与刑书，改革田赋制度，促进封建化过程.\n--------------\n此理念获得更多的吏员为国家工作，也促进了税收的增加，可以完全阻止公羊学派出现. ;;;;;;;;;;X,,,
ecumenism_desc;官学是政府官方设立的机构，兼学术讨论、文化传播、教育教学为一体.春秋战国时期最著名的官学机构为稷下学宫，始建于齐威王，兼容各主要学说流派，荀子等著名学者曾在稷下担任祭酒.\n--------------\n促进国家文化传统积累，同时也有利于陆海军文化发展.并可以投资扩大官学规模让国家获得更多官员 ;;;;;;;;;;X,,,
church_attendance_duty_desc;战国时，齐孟尝君号称宾客三千。他对宾客是来者不拒，有才能的让他们各尽其能，没有才能的也提供食宿.不拘一格的选拔人才虽然效率较低，但有时会收到奇效.\n--------------\n增加间谍数量，提高容忍度，同时有机会随机获得优秀臣属. ;;;;;;;;;;X,,,
divine_supremacy_desc;西周时期，政府设国学和乡学两类。此时的教育依然以贵族教育为主，平民是很难进入官办学校学习的.此背景下，孔子提出了有教无类的思想.\n--------------\n获得额外的布道者和传教成功率. ;;;;;;;;;;X,,,
patron_of_art_desc;绝圣弃智，民利百倍；绝仁弃义，民复孝慈；绝巧弃利，盗贼无有。此三者以为文不足，故令有所属。见素抱朴，少私寡欲，绝学无忧.面对春秋的纷乱局面，道家提出了独具一格的解决方案.\n-------------\n以牺牲文化传统为代价，获得广泛的信仰容忍 ;;;;;;;;;;X,,,
deus_vult_desc;墨子主张“使天下兼相爱”，抽去了宗法制内容，因为庶人也是可以被举为天子的。墨家的“兼爱”是对儒家“仁”的发展，更是对儒家“仁”的否定.\n--------------\n牺牲训练度获得强力的防御加成，不再允许劫掠，但可以获得多个额外的军事益处，如墨家巨子的援助. ;;;;;;;;;;X,,,
humanist_tolerance_desc;名家是以提倡循名责实为学说的流派，提倡正名实。战国期间，局势动荡、混乱。很多礼法名存实亡。名家由此崛起，强调名乎其实，藉以令天下一切事情走上正确的轨道.\n--------------\n借助名家的帮助，抬高国家威望，减少恶名;;;;;;;;;;X,,,
cabinet_desc;庄子的的思想继承老子，又有更大发展，他的主要思想是“天道无为”，认为一切事物都在变化，他认为“道”是“先天生地”的，从“道未始有封”，主张“无为”，放弃一切妄为.\n--------------\n无为而胜有为，少量牺牲税收，而获得天下大治，抑制道家以外所有学说的传播;;;;;;;;;;X,,,
revolution_and_counter_desc;邹衍的阴阳家思想表现在将自古以来的数术思想与阴阳五行学说相结合，并试图进一步的发展，用来建构宇宙图式，解说自然现象的成因及其变化法则.\n------------\n此理念降低科研成本，同时也有利于文化同化. ;;;;;;;;;;X,,,
EVTNAME801;广开兵源;;;;;;;;;;X,,,
EVTDESC801;国家正在加强中央的控制力，地方\n诸侯的武装力量被削弱了，更多的\n后备军将成为君主向外扩张的保证，\n政治上的变革引领了军事上的前进.;;;;;;;;;;X,,,
EVTOPTB801A;君主至上;;;;;;;;;;X,,,
EVTNAME802;地方起义;;;;;;;;;;X,,,
EVTDESC802;君主加强权利的举动引起了地方势\n力的不满，一部分愚蠢的贵族为了\n自己的利益，纠集部队发动了叛乱，\n妄图阻止君王的命令。甚至一些士\n人也加入了他们的行列，想要恢复\n地方的自治权 ;;;;;;;;;;X,,,
EVTOPTB802A;王师出动，击溃他们;;;;;;;;;;X,,,
EVTNAME803;朝野震动;;;;;;;;;;X,,,
EVTDESC803;为了确保我们的国家的荣誉, 我们\n不得不限制地方权力. 但君主大胆\n的改革引起了朝野上下的震动，人们\n纷纷议论纷纷，尤其是被剥夺了特\n权的贵族，表达了他们对于未来感\n到担忧;;;;;;;;;;X,,
EVTOPTB803A;停止妄议！ ;;;;;;;;;;X,,,
EVTNAME804;统治稳定;;;;;;;;;;X,,,
EVTDESC804;给予有功之臣更多的利益，允许一\n定程度的封邑自治，这将有利于我\n们国家的稳定和统一. 贵族和平民的\n权利得到加强，他们的支持是君主\n统治稳定的基础. ;;;;;;;;;;X,,,
EVTOPTB804A;分封诸侯！ ;;;;;;;;;;X,,,
EVTNAME805;税收减少;;;;;;;;;;X,,,
EVTDESC805;贵族截留了大量的税收，国库的收\n入在减少，这对于朝廷而言是一个\n不利的消息，如果地方诸侯的实力太\n强，那就意味着君主权力的衰落. ;;;;;;;;;;X,,,
EVTOPTB805A;接受损失;;;;;;;;;;X,,,
EVTNAME806;户口藏匿;;;;;;;;;;X,,,
EVTDESC806;公卿的私人武装占用了国家的后备\n力量，在各大采邑上，封臣的军队\n越来越多，而朝廷能够聚集的力量在\n减弱. ;;;;;;;;;;X,,,
EVTOPTB806A;中央的军队依然强大;;;;;;;;;;X,,,
EVTNAME807;贵族荣耀;;;;;;;;;;X,,,
EVTDESC807;贵族的特权地位的加强使得他们有\n更多的时间从事军事训练和学习，\n在未来的战争中，我们将从贵族中找\n到更多卓越的将军，他们将一直支\n持我们的国家. ;;;;;;;;;;X,,,
EVTOPTB807A;每个人都有不同的职责. ;;;;;;;;;;X,,,
EVTNAME808;王权危机 ;;;;;;;;;;X,,,
EVTDESC808;公家力量越来越强，事实上，君主\n已经很难对他们进行有效的控制，\n最近一位公家的主要成员公然拒绝了\n君王的命令，这意味着王权的衰落\n已经成为事实. ;;;;;;;;;;X,,,
EVTOPTB808A;国家局势令人担忧. ;;;;;;;;;;X,,,
EVTNAME809;谋朝篡位;;;;;;;;;;X,,,
EVTDESC809;部分公家的实力已经威胁到了君主\n的地位，一个公子宣布自己才是国\n家的合法继承人，他纠集了大量军队\n向都城进发，意图夺取权力. ;;;;;;;;;;X,,,
EVTOPTB809A;阻止他，谋逆不能被容忍. ;;;;;;;;;;X,,,
EVTNAME810;广纳贤才;;;;;;;;;;X,,,
EVTDESC810;重用布衣阶级使得全国贤才踊跃的\n投身国家，君王求贤若渴是一个国\n家的荣耀，他们当中有人将会成为未\n来史书上的伟人. ;;;;;;;;;;X,,,
EVTOPTB810A;一个优秀的士前来求见;;;;;;;;;;X,,,
EVTNAME811;公家不满;;;;;;;;;;X,,,
EVTDESC811;公家的权力一再被剥夺，这已经引\n起了巨大的不满，以公孙、叔孙为\n首，大批部队正在郊外集结，看起来\n将有不利于国军的事情发生. ;;;;;;;;;;X,,,
EVTOPTB811A;镇压公家！ ;;;;;;;;;;X,,,
EVTNAME812;庶人主政;;;;;;;;;;X,,,
EVTDESC812;寒门出身的庶人充斥朝野，彻底颠\n覆了国家的统治秩序，这或许是一\n个伟大的变革，但在当下，这的确引\n起了太多的不满 . ;;;;;;;;;;X,,,
EVTOPTB812A;接受现实;;;;;;;;;;X,,,
EVTNAME813;财政管制;;;;;;;;;;X,,,
EVTDESC813;重新确立传统的耕作制度，使得我\n们对于经济的管理上了一个新的台\n阶，我们国家的经济状况正在好转. ;;;;;;;;;;X,,,
EVTOPTB813A;一切都在控制中;;;;;;;;;;X,,,
EVTNAME814;奴隶起义;;;;;;;;;;X,,,
EVTDESC814;奴隶对于严格的管制感到不满，这\n种不满情绪还在蔓延，有一种说法\n是关于奴隶们密谋在秋天发起暴动的，\n我们相信这只是个谣言，但很多人不\n这么看 ;;;;;;;;;;X,,,
EVTOPTB814A;混乱的局势！ ;;;;;;;;;;X,,,
EVTNAME815;国人暴动;;;;;;;;;;X,,,
EVTDESC815;曾经的可怕场景再现，国人对于现\n在的土地政策非常不满，他们发动\n了起义以寻求更加自由的体制，他们\n完全不理解现在的政策对于国家的\n意义. ;;;;;;;;;;X,,,
EVTOPTB815A;绝不让愚民左右国策！;;;;;;;;;;X,,,
EVTNAME816;财政改革;;;;;;;;;;X,,,
EVTDESC816;新的经济体制带来的变化不仅仅在\n税收上，大量优秀的税务人员涌现\n了出来，宰督相信眼前这个年轻人会\n对国家的财政起到帮助. ;;;;;;;;;;X,,,
EVTOPTB816A;召他进宫;;;;;;;;;;X,,,
EVTNAME817;滥发金钱;;;;;;;;;;X,,,
EVTDESC817;农民对于土地的管理效率低下. 事\n实上，很多地区出现了私自铸币的\n行为，这种行为扰乱了市场秩序，使\n得市场和商人受到了损害. ;;;;;;;;;;X,,,
EVTOPTB817A;想办法改变这些 ;;;;;;;;;;X,,,
EVTNAME818;变农为商 ;;;;;;;;;;X,,,
EVTDESC818;新的生产秩序是人们的思想发生了\n变化，土地的生产似乎不再有吸引\n了，大批农民抛弃了土地而寻求贩卖\n商品，这对于国家十分不利. ;;;;;;;;;;X,,,
EVTOPTB818A;我们深感忧虑. ;;;;;;;;;;X,,,
EVTNAME819;伟大哲人;;;;;;;;;;X,,,
EVTDESC819;宽容给予思想自由，在这种风气下\n，新思想诞生成为可能，那些流传\n千古的名言警句昭示着他们的伟大智\n慧，这位哲人将会成为民族的伟大\n财富. ;;;;;;;;;;X,,,
EVTOPTB819A;思想家诞生;;;;;;;;;;X,,,
EVTNAME820;失信天下;;;;;;;;;;X,,,
EVTDESC820;如果法令和传统无法得到有效保证，\n国家的权威也将随之流失。朝令夕\n改的举措已经让君王的声名留下了污\n点，我国在天下的信用正在被蚕食. ;;;;;;;;;;X,,,
EVTOPTB820A;继续改革！;;;;;;;;;;X,,,
EVTNAME821;局势变革;;;;;;;;;;X,,,
EVTDESC821;我国改变了旧有的政策，似乎传统\n被完全抛弃了。人民感到无所是从，\n他们聚集在王城，不知意欲何为. ;;;;;;;;;;X,,,
EVTOPTB821A;警惕这一切...;;;;;;;;;;X,,,
EVTNAME822;圣人再临;;;;;;;;;;X,,,
EVTDESC822;在周室衰落的情况下，我国依然坚\n持着古老的周礼，这也许有点格格不\n入，但我们的确取得了成果，一位\n年轻人也许正在成为伟大的圣人，\n他高洁的言行在国内广为传颂. ;;;;;;;;;;X,,,
EVTOPTB822A;资助他.;;;;;;;;;;X,,,
EVTNAME823;社会逆流;;;;;;;;;;X,,,
EVTDESC823;朝堂之上，一位大臣公然反对国家\n的守旧举措，这引起了公卿的大规模\n论战，不同的派系争论不休，甚至\n很多政事都被荒废了. ;;;;;;;;;;X,,,
EVTOPTB823A;结束无聊的争论. ;;;;;;;;;;X,,,
EVTNAME824;异端邪说;;;;;;;;;;X,,,
EVTDESC824;时代在改变，很多人对于崇古的现\n状感到不满，最近，一个士人在地方\n宣扬自己的理论，他赢得了不少的\n支持者，然而这种新的主张和朝廷\n的背道而驰. ;;;;;;;;;;X,,,
EVTOPTB824A;把他驱逐出国！;;;;;;;;;;X,,,
EVTNAME825;竞争不利;;;;;;;;;;X,,,
EVTDESC825;我们许诺商家以慷慨的自由, 这却\n使人们不想工作，我们已经完全失去\n了国外的市场. ;;;;;;;;;;X,,
EVTOPTB825A;重罚他们;;;;;;;;;;X,,,
EVTNAME826;商业衰退;;;;;;;;;;X,,,
EVTDESC826;我们的政策引起了商业的衰退，这\n不仅仅是商人的损失，事实上还影响\n了国内的经济和税收. ;;;;;;;;;;X,,,
EVTOPTB826A;不能放任不管. ;;;;;;;;;;X,,,
EVTNAME827;广开贸易;;;;;;;;;;X,,,
EVTDESC827;我们决心实施新的商业政策, 这使\n得国家的商业活动大大增加，频繁的\n交流和贸易为我们带来了额外的收\n入，一个地方征税官正赶来朝廷报\n告. ;;;;;;;;;;X,,
EVTOPTB827A;把他留下来. ;;;;;;;;;;X,,,
EVTNAME828;外商涌入;;;;;;;;;;X,,,
EVTDESC828;随着对外国商人放宽限制, 我们的\n一些商人认为, 他们没有获得足够的\n国家支持, 这导致了大量国外商人\n进入我国贸易. ;;;;;;;;;;X
EVTOPTB828A;不能放任;;;;;;;;;;X,,,
EVTNAME829;外商外出;;;;;;;;;;X,,,
EVTDESC829;我们的自由贸易政策, 正在迫使我\n们的商人变得更加创新，大量的商人\n决心到国外开拓生意，不过这暂时\n并没能国内带来收益. ;;;;;;;;;;X,,
EVTOPTB829A;不必多担心;;;;;;;;;;X,,,
EVTNAME830;商贾巨头;;;;;;;;;;X,,,
EVTDESC830;一个商人利用垄断盐业而成为了一\n方巨富，他的财富已经给他带来了巨\n大的声望，是时候让他为国家做出\n些贡献了. ;;;;;;;;;;X,,,
EVTOPTB830A;征召他的儿子入宫 ;;;;;;;;;;X,,,
EVTNAME831;反对出征;;;;;;;;;;X,,,
EVTDESC831;鉴于国内形势并不稳定，这次出征\n的决议引起了巨大的反对，以大夫\n子夏为首，大批官员反对出征，甚\n至部分君王的近亲也卷入其中. ;;;;;;;;;;X,,,
EVTOPTB831A;这不能阻止我们;;;;;;;;;;X,,,
EVTNAME832;反对征召;;;;;;;;;;X,,,
EVTDESC832;似乎军队的荣誉只是贵族的事情，\n农民对于目前的征兵完全不感兴趣. \n事实上他们更感兴趣的是自己的土\n地，这直接导致了我们目前的兵力\n不足. ;;;;;;;;;;X,,,
EVTOPTB832A;派遣保长督促;;;;;;;;;;X,,,
EVTNAME833;陆军荣耀;;;;;;;;;;X,,,
EVTDESC833;在刚刚结束的战争中，我国军队击\n溃了我们的敌人，将军们满载着战\n利品回到都城，围观的群众对此十\n分感兴趣，很多人开始热心于投入\n战争当中. ;;;;;;;;;;X,,,
