;;;;;;;;;;X,,,,
MERC_CAV;雇佣骑兵;;;;;;;;;;X,,,,
THE_YEAR_IS_BEFORE;年代早于;;;;;;;;;;X,,,,
THE_YEAR_IS_AFTER;年代晚于;;;;;;;;;;X,,,,
HAVE_LESS_THAN;拥有少于;;;;;;;;;;X,,,,
HAVE_MORE_THAN;拥有至少;;;;;;;;;;X,,,,
HAVE_PRESTIGE_LESS_THAN;拥有声望低于;;;;;;;;;;X,,,,
HAVE_PRESTIGE_MORE_THAN;拥有声望至少;;;;;;;;;;X,,,,
ISNT_LUCKY;不是幸运国家;;;;;;;;;;X,,,,
IS_LUCKY;是幸运国家;;;;;;;;;;X,,,,
HAVNTWARTAXES;没有战争税;;;;;;;;;;X,,,,
HAVEWARTAXES;有战争税;;;;;;;;;;X,,,,
INFLATION_MORE_THAN;通货膨胀至少;;;;;;;;;;X,,,,
INFLATION_LESS_THAN;通货膨胀少于;;;;;;;;;;X,,,,
STABILITY_LESS_THAN;拥有稳定度少于;;;;;;;;;;X,,,,
STABILITY_MORE_THAN;拥有稳定度至少;;;;;;;;;;X,,,,
WAR_EXHAUSTION_MORE_THAN;厌战程度至少;;;;;;;;;;X,,,,
WAR_EXHAUSTION_LESS_THAN;厌战程度少于;;;;;;;;;;X,,,,
BLOCKADE_PENALTY_MORE_THAN;封锁惩罚至少;;;;;;;;;;X,,,,
BLOCKADE_PENALTY_LESS_THAN;封锁惩罚少于;;;;;;;;;;X,,,,
HAVE_LESS_MANPOWER_THAN;拥有人力少于;;;;;;;;;;X,,,,
HAVE_MORE_MANPOWER_THAN;拥有人力至少;;;;;;;;;;X,,,,
HAVE_LESS_LOANS_THAN;贷款数量少于;;;;;;;;;;X,,,,
HAVE_MORE_LOANS_THAN;贷款数量至少;;;;;;;;;;X,,,,
HAVE_LESS_COT_THAN;贸易中心数量少于;;;;;;;;;;X,,,,
HAVE_MORE_COT_THAN;贸易中心数量至少;;;;;;;;;;X,,,,
HAVE_MORE_MONOPOLS_THAN;成功垄断的贸易中心数量至少;;;;;;;;;;X,,,,
HAVNT_REGENCY_COUNCIL;没有公卿摄政;;;;;;;;;;X,,,,
HAVE_REGENCY_COUNCIL;有公卿摄政;;;;;;;;;;X,,,,
HAVE_LAND_MAINTENANCE_OVER;陆军维持费高于;;;;;;;;;;X,,,,
HAVE_LAND_MAINTENANCE_UNDER;陆军维持费低于;;;;;;;;;;X,,,,
HAVE_NAVAL_MAINTENANCE_OVER;海军维持费高于;;;;;;;;;;X,,,,
HAVE_NAVAL_MAINTENANCE_UNDER;海军维持费低于;;;;;;;;;;X,,,,
HAVE_ARMY_TRADITION_UNDER;陆军传统低于;;;;;;;;;;X,,,,
HAVE_ARMY_TRADITION_OVER;陆军传统高于;;;;;;;;;;X,,,,
HAVE_NAVAL_TRADITION_UNDER;海军传统低于;;;;;;;;;;X,,,,
HAVE_NAVAL_TRADITION_OVER;海军传统高于;;;;;;;;;;X,,,,
HAVE_TRADE_EFFICIENCY_UNDER;贸易效率低于;;;;;;;;;;X,,,,
HAVE_TRADE_EFFICIENCY_OVER;贸易效率高于;;;;;;;;;;X,,,,
HAVE_PRODUCTION_EFFICIENCY_UNDER;工业效率低于;;;;;;;;;;X,,,,
HAVE_PRODUCTION_EFFICIENCY_OVER;工业效率高于;;;;;;;;;;X,,,,
HAVENT_A_COT_INT;没有贸易中心在;;;;;;;;;;X,,,,
HAVE_A_COT_INT;有贸易中心在;;;;;;;;;;X,,,,
HAVE_CONTROL_OVER;没有控制;;;;;;;;;;X,,,,
HAVENT_CONTROL_OVER;控制  ;;;;;;;;;;X,,,,
HAVENT_CORE;没有核心在;;;;;;;;;;X,,,,
HAVE_CORE_IN;有核心在;;;;;;;;;;X,,,,
HAVENT_DISCOVERED;没有发现;;;;;;;;;;X,,,,
HAVE_DISCOVERED;已经发现;;;;;;;;;;X,,,,
IS_EMPEROR;是中原霸主;;;;;;;;;;X,,,,
ISNT_EMPEROR;不是中原霸主;;;;;;;;;;X,,,,
ISNT_ELECTOR;不是小霸;;;;;;;;;;X,,,,
IS_ELECTOR;是小霸;;;;;;;;;;X,,,,
HAVE_LESS_CITIES_THAN;拥有城市少于;;;;;;;;;;X,,,,
HAVE_MORE_CITIES_THAN;拥有城市至少等于;;;;;;;;;;X,,,,
HAVE_LESS_PORTS_THAN;拥有国内港口少于;;;;;;;;;;X,,,,
HAVE_MORE_PORTS_THAN;拥有国内港口至少等于;;;;;;;;;;X,,,,
HAVE_LESS_EXPLORERS_THAN;拥有探险家少于;;;;;;;;;;X,,,,
HAVE_MORE_EXPLORERS_THAN;拥有探险家至少等于;;;;;;;;;;X,,,,
HAVE_LESS_CONQUISTADORS_THAN;拥有征服者少于;;;;;;;;;;X,,,,
HAVE_MORE_CONQUISTADORS_THAN;拥有征服者至少等于;;;;;;;;;;X,,,,
HAVE_LESS_ADMIRALS_THAN;拥有提督少于;;;;;;;;;;X,,,,
HAVE_MORE_ADMIRALS_THAN;拥有提督至少等于;;;;;;;;;;X,,,,
HAVE_LESS_GENERALS_THAN;拥有将军少于;;;;;;;;;;X,,,,
HAVE_MORE_GENERALS_THAN;拥有将军至少等于;;;;;;;;;;X,,,,
HAVNT_MONARCH_AS_LEADER;统治者不是将军;;;;;;;;;;X,,,,
HAVE_MONARCH_AS_LEADER;统治者是将军;;;;;;;;;;X,,,,
IS_NOT_DEFENDER_OF_FAITH;不是信仰守护者;;;;;;;;;;X,,,,
IS_DEFENDER_OF_FAITH;是信仰守护者;;;;;;;;;;X,,,,
HAVE_MORE_TRADE_ARGEEMENTS_THAN;拥有贸易协定至少;;;;;;;;;;X,,,,
HAVE_NOT_MORE_TRADE_ARGEEMENTS_THAN;拥有贸易协定少于;;;;;;;;;;X,,,,
HAVE_LESS_TRADE_REFUSALS_THAN;拥有贸易禁运少于;;;;;;;;;;X,,,,
HAVE_MORE_TRADE_REFUSALS_THAN;拥有贸易禁运至少;;;;;;;;;;X,,,,
HAVE_LESS_ALLIES_THAN;拥有盟友少于;;;;;;;;;;X,,,,
HAVE_MORE_ALLIES_THAN;拥有盟友至少;;;;;;;;;;X,,,,
HAVE_LESS_ROYAL_MARRIGES_THAN;拥有王室联姻少于;;;;;;;;;;X,,,,
HAVE_MORE_ROYAL_MARRIGES_THAN;拥有王室联姻至少;;;;;;;;;;X,,,,
HAVE_LESS_VASSALS_THAN;拥有附庸国少于;;;;;;;;;;X,,,,
HAVE_MORE_VASSALS_THAN;拥有附庸国至少;;;;;;;;;;X,,,,
HAVE_LESS_UNIONS_THAN;拥有联合统治少于;;;;;;;;;;X,,,,
HAVE_MORE_UNIONS_THAN;拥有联合统治至少;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_LOWER_AMD_THEN;统治者管理技能低于;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_HIGHER_AMD_THEN;统治者管理技能至少;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_LOWER_DIP_THEN;统治者外交技能低于;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_HIGHER_DIP_THEN;统治者外交技能至少;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_LOWER_MIL_THEN;统治者军事技能低于;;;;;;;;;;X,,,,
HAVE_MONARCH_WITH_HIGHER_MIL_THEN;统治者军事技能至少;;;;;;;;;;X,,,,
HAVNT_CULTURE;文化不是;;;;;;;;;;X,,,,
HAVE_CULTURE;文化是;;;;;;;;;;X,,,,
IS_NOT_PRIMARY_CULTURE;主流文化不是;;;;;;;;;;X,,,,
IS_PRIMARY_CULTURE;主流文化是;;;;;;;;;;X,,,,
IS_NOT_ACCEPTED_CULTURE;不是可接受文化;;;;;;;;;;X,,,,
IS_ACCEPTED_CULTURE;是可接受文化;;;;;;;;;;X,,,,
HAVE_NOT_CULTURE_GROUP;文化组群不是;;;;;;;;;;X,,,,
HAVE_CULTURE_GROUP;文化组群是;;;;;;;;;;X,,,,
IS_ENABLED;可用;;;;;;;;;;X,,,,
IS_DISABLED;不可用;;;;;;;;;;X,,,,
HAVE;拥有;;;;;;;;;;X,,,,
HAVE_NOT;没有;;;;;;;;;;X,,,,
HAS;有;;;;;;;;;;X,,,,
HAS_NOT;没有;;;;;;;;;;X,,,,
EXISTS;存在;;;;;;;;;;X,,,,
DOSNT_EXISTS;不存在;;;;;;;;;;X,,,,
DO_NOT_HAVE_A;没有;;;;;;;;;;X,,,,
HAVE_A;有;;;;;;;;;;X,,,,
HAVE_MORE_INFANTRY_THAN;步兵团队至少;;;;;;;;;;X,,,,
HAVE_LESS_INFANTRY_THAN;步兵团队少于;;;;;;;;;;X,,,,
HAVE_LESS_CAVALRY_THAN;骑兵团队少于;;;;;;;;;;X,,,,
HAVE_MORE_CAVALRY_THAN;骑兵团队至少;;;;;;;;;;X,,,,
HAVE_MORE_ARTILLERY_THAN;战车团队至少;;;;;;;;;;X,,,,
HAVE_LESS_ARTILLERY_THAN;战车团队少于;;;;;;;;;;X,,,,
HAVE_LESS_BIG_SHIPS_THAN;大战船数量少于;;;;;;;;;;X,,,,
HAVE_MORE_BIG_SHIPS_THAN;大战船数量至少;;;;;;;;;;X,,,,
HAVE_LESS_LIGHT_SHIPS_THAN;小战船数量少于;;;;;;;;;;X,,,,
HAVE_MORE_LIGHT_SHIPS_THAN;小战船数量至少;;;;;;;;;;X,,,,
HAVE_LESS_GALLEYS_SHIPS_THAN;浆帆船数量少于;;;;;;;;;;X,,,,
HAVE_MORE_GALLEYS_SHIPS_THAN;浆帆船数量至少;;;;;;;;;;X,,,,
HAVE_LESS_TRANSPORTS_THAN;运输船数量少于;;;;;;;;;;X,,,,
HAVE_MORE_TRANSPORTS_THAN;运输船数量至少;;;;;;;;;;X,,,,
HAVE_LESS_INFANTRY_FRACTION_THAN;步兵比例少于;;;;;;;;;;X,,,,
HAVE_MORE_INFANTRY_FRACTION_THAN;步兵比例至少;;;;;;;;;;X,,,,
HAVE_LESS_CAVALRY_FRACTION_THAN;骑兵比例少于;;;;;;;;;;X,,,,
HAVE_MORE_CAVALRY_FRACTION_THAN;骑兵比例至少;;;;;;;;;;X,,,,
HAVE_LESS_ARTILLERY_FRACTION_THAN;战车比例少于;;;;;;;;;;X,,,,
HAVE_MORE_ARTILLERY_FRACTION_THAN;战车比例至少;;;;;;;;;;X,,,,
HAVE_LESS_BIG_SHIPS_FRACTION_THAN;大战船比例少于;;;;;;;;;;X,,,,
HAVE_MORE_BIG_SHIPS_FRACTION_THAN;大战船比例至少;;;;;;;;;;X,,,,
HAVE_LESS_LIGHT_SHIPS_FRACTION_THAN;小战船比例少于;;;;;;;;;;X,,,,
HAVE_MORE_LIGHT_SHIPS_FRACTION_THAN;小战船比例至少;;;;;;;;;;X,,,,
HAVE_LESS_TRANSPORT_FRACTION_THAN;运输船比例少于;;;;;;;;;;X,,,,
HAVE_MORE_TRANSPORT_FRACTION_THAN;运输船比例至少;;;;;;;;;;X,,,,
HAVE_LESS_GALLEYS_FRACTION_THAN;浆帆船比例少于;;;;;;;;;;X,,,,
HAVE_MORE_GALLEYS_FRACTION_THAN;浆帆船比例至少;;;;;;;;;;X,,,,
HAVE_LESS_PROVINCE_THAT_PRODUCES_THEN;$GOODS$生产省份少于;;;;;;;;;;X,,,,
HAVE_MORE_PROVINCE_THAT_PRODUCES_THEN;$GOODS$生产省份至少;;;;;;;;;;X,,,,
HAVENT_TECHNOLOGY_GROUP;没有科技组群;;;;;;;;;;X,,,,
HAVE_TECHNOLOGY_GROUP;有科技组群;;;;;;;;;;X,,,,
HAVE_AT_LEST_ONE_OWNED_NEIGHBORING_PROVINCE;有至少一个占有的邻近省份以致:;;;;;;;;;;X,,,,
HAVE_NO_OWNED_NEIGHBORING_PROVINCE;没有控制邻近省份以致:;;;;;;;;;;X,,,,
HAVE_NO_DIPLOMATIC_RELATION_WITH;没有外交联系同;;;;;;;;;;X,,,,
HAVE_DIPLOMATIC_RELATION_WITH;有外交联系同;;;;;;;;;;X,,,,
DO_NOT_OWN;没有拥有;;;;;;;;;;X,,,,
OWNS;统治;;;;;;;;;;X,,,,
DO_NOT_CONTROL;没有控制;;;;;;;;;;X,,,,
CONTROLS;控制;;;;;;;;;;X,,,,
IS_NOT;不是;;;;;;;;;;X,,,,
IS;是;;;;;;;;;;X,,,,
HAVE_THE_MODIFIER;拥有修正;;;;;;;;;;X,,,,
DONT_HAVE_THE_MODIFIER;没有修正;;;;;;;;;;X,,,,
DONT_HAVE_THE_PROVICEN_MODIFIER;没有省份修正;;;;;;;;;;X,,,,
HAVE_THE_PROVINCE_MODIFIER;有省份修正;;;;;;;;;;X,,,,
HAVE_NOT_A_COT_IN;没有贸易中心在;;;;;;;;;;X,,,,
HAVE_A_COT_IN;有贸易中心在;;;;;;;;;;X,,,,
